temporada;jornada;equip1;equip2;codi1;codi2;punts1;posicio1;pg1;pe1;pp1;avgf1;avgc1;punts2;posicio2;pg2;pe2;pp2;avgf2;avgc2;difposition;resultat
Temporada 2004-05;15;Valencia;Numancia;Temporada 2004-0515Valencia;Temporada 2004-0515Numancia;28;3;0,533333333;0,266666667;0,2;1,533333333;0,733333333;11;20;0,2;0,133333333;0,666666667;0,666666667;1,733333333;-17;1
Temporada 2004-05;15;Athletic;Atletico;Temporada 2004-0515Athletic;Temporada 2004-0515Atletico;18;14;0,333333333;0,2;0,466666667;1,2;1,333333333;22;7;0,4;0,266666667;0,333333333;1,133333333;0,866666667;7;1
Temporada 2004-05;15;Albacete;Barcelona;Temporada 2004-0515Albacete;Temporada 2004-0515Barcelona;14;18;0,2;0,333333333;0,466666667;0,8;1,333333333;38;1;0,8;0,133333333;0,066666667;2,133333333;0,6;17;2
Temporada 2004-05;15;R. Madrid;R. Sociedad;Temporada 2004-0515R. Madrid;Temporada 2004-0515R. Sociedad;27;4;0,533333333;0,2;0,266666667;1,466666667;0,666666667;19;12;0,333333333;0,266666667;0,4;1,066666667;1,2;-8;1
Temporada 2004-05;16;Atletico;Deportivo;Temporada 2004-0516Atletico;Temporada 2004-0516Deportivo;25;6;0,4375;0,25;0,3125;1,125;0,8125;22;9;0,3125;0,4375;0,25;1,25;1,375;-3;1
Temporada 2004-05;16;Sevilla;Betis;Temporada 2004-0516Sevilla;Temporada 2004-0516Betis;28;5;0,5;0,25;0,25;1,25;1,125;24;7;0,375;0,375;0,25;1,3125;1,25;-2;1
Temporada 2004-05;16;Villarreal;Malaga;Temporada 2004-0516Villarreal;Temporada 2004-0516Malaga;21;10;0,3125;0,375;0,3125;1,1875;0,75;15;18;0,25;0,1875;0,5625;0,6875;1,375;-8;1
Temporada 2004-05;16;Zaragoza;Athletic;Temporada 2004-0516Zaragoza;Temporada 2004-0516Athletic;19;14;0,3125;0,25;0,4375;1,3125;1,5;21;11;0,375;0,1875;0,4375;1,25;1,25;3;2
Temporada 2004-05;16;Mallorca;Osasuna;Temporada 2004-0516Mallorca;Temporada 2004-0516Osasuna;13;19;0,1875;0,25;0,5625;0,9375;1,5;24;8;0,4375;0,1875;0,375;1,5;1,5625;11;2
Temporada 2004-05;16;Numancia;Espanyol;Temporada 2004-0516Numancia;Temporada 2004-0516Espanyol;12;20;0,1875;0,1875;0,625;0,625;1,625;30;2;0,5625;0,1875;0,25;1,125;0,5625;18;0
Temporada 2004-05;16;Barcelona;Valencia;Temporada 2004-0516Barcelona;Temporada 2004-0516Valencia;39;1;0,75;0,1875;0,0625;2,0625;0,625;29;4;0,5;0,3125;0,1875;1,5;0,75;-3;0
Temporada 2004-05;16;Levante;Albacete;Temporada 2004-0516Levante;Temporada 2004-0516Albacete;21;12;0,375;0,1875;0,4375;1,0625;1,375;15;17;0,1875;0,375;0,4375;0,8125;1,3125;-5;0
Temporada 2004-05;17;Athletic;Mallorca;Temporada 2004-0517Athletic;Temporada 2004-0517Mallorca;24;9;0,411764706;0,176470588;0,411764706;1,411764706;1,176470588;13;19;0,176470588;0,235294118;0,588235294;0,882352941;1,647058824;-10;1
Temporada 2004-05;17;Osasuna;Numancia;Temporada 2004-0517Osasuna;Temporada 2004-0517Numancia;27;7;0,470588235;0,176470588;0,352941176;1,529411765;1,470588235;12;20;0,176470588;0,176470588;0,647058824;0,588235294;1,647058824;-13;1
Temporada 2004-05;17;Valencia;Espanyol;Temporada 2004-0517Valencia;Temporada 2004-0517Espanyol;32;2;0,529411765;0,294117647;0,176470588;1,588235294;0,705882353;30;4;0,529411765;0,176470588;0,294117647;1,058823529;0,705882353;-2;1
Temporada 2004-05;17;Albacete;Villarreal;Temporada 2004-0517Albacete;Temporada 2004-0517Villarreal;16;16;0,176470588;0,411764706;0,411764706;0,882352941;1,352941176;22;10;0,294117647;0,411764706;0,294117647;1,235294118;0,823529412;6;0
Temporada 2004-05;17;Getafe;Racing;Temporada 2004-0517Getafe;Temporada 2004-0517Racing;18;15;0,294117647;0,176470588;0,529411765;0,941176471;1,235294118;16;17;0,235294118;0,235294118;0,529411765;0,882352941;1,470588235;-2;1
Temporada 2004-05;17;Deportivo;Zaragoza;Temporada 2004-0517Deportivo;Temporada 2004-0517Zaragoza;22;13;0,294117647;0,411764706;0,294117647;1,294117647;1,470588235;22;12;0,352941176;0,235294118;0,411764706;1,411764706;1,529411765;1;2
Temporada 2004-05;17;Betis;Atletico;Temporada 2004-0517Betis;Temporada 2004-0517Atletico;27;6;0,411764706;0,352941176;0,235294118;1,294117647;1,176470588;25;8;0,411764706;0,235294118;0,352941176;1,058823529;0,823529412;-2;1
Temporada 2004-05;18;Villarreal;Barcelona;Temporada 2004-0518Villarreal;Temporada 2004-0518Barcelona;25;8;0,333333333;0,388888889;0,277777778;1,333333333;0,777777778;42;1;0,722222222;0,166666667;0,111111111;1,944444444;0,777777778;7;1
Temporada 2004-05;18;Mallorca;Deportivo;Temporada 2004-0518Mallorca;Temporada 2004-0518Deportivo;14;19;0,166666667;0,277777778;0,555555556;0,944444444;1,666666667;23;12;0,277777778;0,444444444;0,277777778;1,333333333;1,5;7;0
Temporada 2004-05;18;Zaragoza;Betis;Temporada 2004-0518Zaragoza;Temporada 2004-0518Betis;25;11;0,388888889;0,222222222;0,388888889;1,388888889;1,444444444;27;6;0,388888889;0,333333333;0,277777778;1,222222222;1,166666667;5;1
Temporada 2004-05;18;Racing;Malaga;Temporada 2004-0518Racing;Temporada 2004-0518Malaga;19;17;0,277777778;0,222222222;0,5;0,944444444;1,444444444;15;18;0,222222222;0,166666667;0,611111111;0,722222222;1,611111111;-1;1
