
corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
8,3,2,18,53,84,1,18,27,0,1,2,12,,12,17,Temporada 2012-13,27,10,Zaragoza,Getafe,58,10,0,0,7,2,86,5,Jornada 7,5
6,1,6,19,64,96,0,19,12,2,0,0,5,,11,17,Temporada 2012-13,12,8,Betis,R. Sociedad,68,5,0,0,6,2,97,6,Jornada 7,10
8,2,6,18,87,115,1,18,13,1,0,0,9,,12,14,Temporada 2012-13,13,9,Valladolid,Espanyol,81,7,0,0,6,7,115,2,Jornada 7,3
3,2,1,14,61,85,0,14,11,2,0,0,6,,11,11,Temporada 2012-13,11,4,Celta,Sevilla,59,2,0,0,5,2,87,2,Jornada 7,6
9,1,4,8,69,87,2,8,9,0,0,0,6,,15,13,Temporada 2012-13,9,6,Deportivo,Sevilla,57,8,0,0,6,2,94,0,Jornada 5,10
5,1,10,13,77,109,2,13,9,0,0,0,3,,13,16,Temporada 2012-13,9,5,Rayo,R. Madrid,74,7,0,0,3,3,112,4,Jornada 5,6
6,4,1,15,66,96,1,15,22,2,0,0,9,,13,5,Temporada 2012-13,22,4,Atlético,Valladolid,73,3,0,0,7,6,89,2,Jornada 5,1
7,7,0,7,83,110,0,7,6,0,0,0,6,,9,12,Temporada 2012-13,6,5,Athletic,Málaga,87,4,0,0,1,3,115,3,Jornada 5,7
4,2,1,20,76,94,1,20,8,2,0,0,6,,17,15,Temporada 2012-13,8,5,Levante,R. Sociedad,68,4,0,0,7,4,96,2,Jornada 5,5
,0,1,17,64,72,0,17,9,2,0,0,3,,6,28,Temporada 2012-13,9,7,Mallorca,Valencia,60,9,0,0,3,4,90,4,Jornada 5,
7,1,2,24,63,86,0,24,12,1,0,0,2,,12,11,Temporada 2012-13,12,6,Betis,Espanyol,61,4,0,0,3,5,96,5,Jornada 5,1
4,4,3,14,55,88,1,14,13,2,1,0,5,,14,6,Temporada 2012-13,13,3,Celta,Getafe,72,4,0,0,6,3,83,2,Jornada 5,4
14,3,0,10,64,91,0,10,15,2,0,0,13,,20,6,Temporada 2012-13,15,5,Barcelona,Granada,57,3,0,0,12,3,83,0,Jornada 5,5
1,6,3,18,67,104,1,18,12,3,0,0,4,,11,11,Temporada 2012-13,12,13,Zaragoza,Osasuna,74,4,0,0,6,2,96,2,Jornada 5,2
